item_name,month,zone,avg_price
"Groundnuts, roasted,75cl bottle",2025-03-01,NORTH CENTRAL,2332.69
"Groundnuts, roasted,75cl bottle",2025-03-01,NORTH EAST,2222.0
"Groundnuts, roasted,75cl bottle",2025-03-01,NORTH WEST,2539.01
"Groundnuts, roasted,75cl bottle",2025-03-01,SOUTH EAST,2836.38
"Groundnuts, roasted,75cl bottle",2025-03-01,SOUTH SOUTH,2633.04
"Groundnuts, roasted,75cl bottle",2025-03-01,SOUTH WEST,2438.33
Irish Potato,2025-03-01,NORTH CENTRAL,1852.61
Irish Potato,2025-03-01,NORTH EAST,1290.9
Irish Potato,2025-03-01,NORTH WEST,1410.81
Irish Potato,2025-03-01,SOUTH EAST,2494.26
Irish Potato,2025-03-01,SOUTH SOUTH,2225.44
Irish Potato,2025-03-01,SOUTH WEST,2201.96
Local Rice (Broken),2025-03-01,NORTH CENTRAL,3352.98
Local Rice (Broken),2025-03-01,NORTH EAST,1722.0
Local Rice (Broken),2025-03-01,NORTH WEST,1651.87
Local Rice (Broken),2025-03-01,SOUTH EAST,2457.08
Local Rice (Broken),2025-03-01,SOUTH SOUTH,3273.78
Local Rice (Broken),2025-03-01,SOUTH WEST,3593.33
Mackerel Frozen,2025-03-01,NORTH CENTRAL,7735.62
Mackerel Frozen,2025-03-01,NORTH EAST,5772.92
Mackerel Frozen,2025-03-01,NORTH WEST,4665.02
Mackerel Frozen,2025-03-01,SOUTH EAST,5103.16
Mackerel Frozen,2025-03-01,SOUTH SOUTH,4840.23
Mackerel Frozen,2025-03-01,SOUTH WEST,4476.38
Maize grain white,2025-03-01,NORTH CENTRAL,1112.36
Maize grain white,2025-03-01,NORTH EAST,1169.12
Maize grain white,2025-03-01,NORTH WEST,1187.28
Maize grain white,2025-03-01,SOUTH EAST,1578.88
Maize grain white,2025-03-01,SOUTH SOUTH,1406.54
Maize grain white,2025-03-01,SOUTH WEST,1311.38
Onions fresh,2025-03-01,NORTH CENTRAL,1320.38
Onions fresh,2025-03-01,NORTH EAST,780.33
Onions fresh,2025-03-01,NORTH WEST,1126.99
Onions fresh,2025-03-01,SOUTH EAST,1989.03
Onions fresh,2025-03-01,SOUTH SOUTH,2393.61
Onions fresh,2025-03-01,SOUTH WEST,1161.51
"Palm oil, 75cl",2025-03-01,NORTH CENTRAL,2268.79
"Palm oil, 75cl",2025-03-01,NORTH EAST,2127.78
"Palm oil, 75cl",2025-03-01,NORTH WEST,2598.19
"Palm oil, 75cl",2025-03-01,SOUTH EAST,2670.38
"Palm oil, 75cl",2025-03-01,SOUTH SOUTH,2485.44
"Palm oil, 75cl",2025-03-01,SOUTH WEST,2972.59
Plantain (ripe),2025-03-01,NORTH CENTRAL,2209.84
Plantain (ripe),2025-03-01,NORTH EAST,1849.15
Plantain (ripe),2025-03-01,NORTH WEST,1808.26
Plantain (ripe),2025-03-01,SOUTH EAST,2198.08
Plantain (ripe),2025-03-01,SOUTH SOUTH,2092.23
Plantain (ripe),2025-03-01,SOUTH WEST,1888.36
Plantain (unripe),2025-03-01,NORTH CENTRAL,2447.27
Plantain (unripe),2025-03-01,NORTH EAST,2193.86
Plantain (unripe),2025-03-01,NORTH WEST,1946.99
Plantain (unripe),2025-03-01,SOUTH EAST,2370.21
Plantain (unripe),2025-03-01,SOUTH SOUTH,2409.48
Plantain (unripe),2025-03-01,SOUTH WEST,1951.33
"Rice Local, short-Grained",2025-03-01,NORTH CENTRAL,2277.58
"Rice Local, short-Grained",2025-03-01,NORTH EAST,2129.77
"Rice Local, short-Grained",2025-03-01,NORTH WEST,2266.31
"Rice Local, short-Grained",2025-03-01,SOUTH EAST,2300.75
"Rice Local, short-Grained",2025-03-01,SOUTH SOUTH,2354.68
"Rice Local, short-Grained",2025-03-01,SOUTH WEST,2126.66
Rice Long-Grained (Imported),2025-03-01,NORTH CENTRAL,2843.29
Rice Long-Grained (Imported),2025-03-01,NORTH EAST,2351.35
Rice Long-Grained (Imported),2025-03-01,NORTH WEST,2808.59
Rice Long-Grained (Imported),2025-03-01,SOUTH EAST,2750.96
Rice Long-Grained (Imported),2025-03-01,SOUTH SOUTH,2795.96
Rice Long-Grained (Imported),2025-03-01,SOUTH WEST,2489.98
"Semovita, Prepacked (1kg)",2025-03-01,NORTH CENTRAL,2243.43
"Semovita, Prepacked (1kg)",2025-03-01,NORTH EAST,2147.17
"Semovita, Prepacked (1kg)",2025-03-01,NORTH WEST,1892.86
"Semovita, Prepacked (1kg)",2025-03-01,SOUTH EAST,2428.0
"Semovita, Prepacked (1kg)",2025-03-01,SOUTH SOUTH,2393.96
"Semovita, Prepacked (1kg)",2025-03-01,SOUTH WEST,2010.77
Smoked fish,2025-03-01,NORTH CENTRAL,6248.08
Smoked fish,2025-03-01,NORTH EAST,5720.59
Smoked fish,2025-03-01,NORTH WEST,4650.84
Smoked fish,2025-03-01,SOUTH EAST,5879.61
Smoked fish,2025-03-01,SOUTH SOUTH,6285.37
Smoked fish,2025-03-01,SOUTH WEST,5854.29
Sweet potatoes,2025-03-01,NORTH CENTRAL,815.6
Sweet potatoes,2025-03-01,NORTH EAST,856.45
Sweet potatoes,2025-03-01,NORTH WEST,744.16
Sweet potatoes,2025-03-01,SOUTH EAST,896.82
Sweet potatoes,2025-03-01,SOUTH SOUTH,1519.7
Sweet potatoes,2025-03-01,SOUTH WEST,667.74
Tilapia fresh fish (Epiya),2025-03-01,NORTH CENTRAL,6569.71
Tilapia fresh fish (Epiya),2025-03-01,NORTH EAST,5432.15
Tilapia fresh fish (Epiya),2025-03-01,NORTH WEST,4844.3
Tilapia fresh fish (Epiya),2025-03-01,SOUTH EAST,5275.32
Tilapia fresh fish (Epiya),2025-03-01,SOUTH SOUTH,5243.15
Tilapia fresh fish (Epiya),2025-03-01,SOUTH WEST,5276.35
"Tin Milk-Evaporated, Peak Milk, 150g",2025-03-01,NORTH CENTRAL,1035.45
"Tin Milk-Evaporated, Peak Milk, 150g",2025-03-01,NORTH EAST,1000.58
"Tin Milk-Evaporated, Peak Milk, 150g",2025-03-01,NORTH WEST,902.29
"Tin Milk-Evaporated, Peak Milk, 150g",2025-03-01,SOUTH EAST,1103.3
"Tin Milk-Evaporated, Peak Milk, 150g",2025-03-01,SOUTH SOUTH,1017.27
"Tin Milk-Evaporated, Peak Milk, 150g",2025-03-01,SOUTH WEST,963.65
"Tin Milk-Evaporated, Three Crown Milk, 160g",2025-03-01,NORTH CENTRAL,813.92
"Tin Milk-Evaporated, Three Crown Milk, 160g",2025-03-01,NORTH EAST,870.42
"Tin Milk-Evaporated, Three Crown Milk, 160g",2025-03-01,NORTH WEST,854.37
"Tin Milk-Evaporated, Three Crown Milk, 160g",2025-03-01,SOUTH EAST,899.13
"Tin Milk-Evaporated, Three Crown Milk, 160g",2025-03-01,SOUTH SOUTH,981.86
"Tin Milk-Evaporated, Three Crown Milk, 160g",2025-03-01,SOUTH WEST,830.27
"Titus, frozen",2025-03-01,NORTH CENTRAL,7013.52
"Titus, frozen",2025-03-01,NORTH EAST,5088.5
"Titus, frozen",2025-03-01,NORTH WEST,6570.28
"Titus, frozen",2025-03-01,SOUTH EAST,5637.78
"Titus, frozen",2025-03-01,SOUTH SOUTH,5395.91
"Titus, frozen",2025-03-01,SOUTH WEST,5106.38
"Tomatoes, fresh",2025-03-01,NORTH CENTRAL,1129.97
"Tomatoes, fresh",2025-03-01,NORTH EAST,809.26
"Tomatoes, fresh",2025-03-01,NORTH WEST,866.2
"Tomatoes, fresh",2025-03-01,SOUTH EAST,1709.83
"Tomatoes, fresh",2025-03-01,SOUTH SOUTH,1186.29
"Tomatoes, fresh",2025-03-01,SOUTH WEST,1387.7
"Vegetable Oil, 75cl",2025-03-01,NORTH CENTRAL,3144.38
"Vegetable Oil, 75cl",2025-03-01,NORTH EAST,3089.0
"Vegetable Oil, 75cl",2025-03-01,NORTH WEST,2899.36
"Vegetable Oil, 75cl",2025-03-01,SOUTH EAST,3468.55
"Vegetable Oil, 75cl",2025-03-01,SOUTH SOUTH,3714.36
"Vegetable Oil, 75cl",2025-03-01,SOUTH WEST,3833.38
"Watermelon whole, medium size fresh",2025-03-01,NORTH CENTRAL,1880.72
"Watermelon whole, medium size fresh",2025-03-01,NORTH EAST,1717.25
"Watermelon whole, medium size fresh",2025-03-01,NORTH WEST,1573.65
"Watermelon whole, medium size fresh",2025-03-01,SOUTH EAST,2618.63
"Watermelon whole, medium size fresh",2025-03-01,SOUTH SOUTH,2649.7
"Watermelon whole, medium size fresh",2025-03-01,SOUTH WEST,2005.81
"Wheat Flour, Prepacked (2kg)",2025-03-01,NORTH CENTRAL,3968.25
"Wheat Flour, Prepacked (2kg)",2025-03-01,NORTH EAST,4037.05
"Wheat Flour, Prepacked (2kg)",2025-03-01,NORTH WEST,3944.36
"Wheat Flour, Prepacked (2kg)",2025-03-01,SOUTH EAST,5378.77
"Wheat Flour, Prepacked (2kg)",2025-03-01,SOUTH SOUTH,3916.06
"Wheat Flour, Prepacked (2kg)",2025-03-01,SOUTH WEST,3704.37
Yam Tuber,2025-03-01,NORTH CENTRAL,1975.63
Yam Tuber,2025-03-01,NORTH EAST,1787.01
Yam Tuber,2025-03-01,NORTH WEST,2187.91
Yam Tuber,2025-03-01,SOUTH EAST,2349.32
Yam Tuber,2025-03-01,SOUTH SOUTH,2479.98
Yam Tuber,2025-03-01,SOUTH WEST,2121.42
Agric hen eggs,2025-04-01,NORTH CENTRAL,253.29
Agric hen eggs,2025-04-01,NORTH EAST,247.5
Agric hen eggs,2025-04-01,NORTH WEST,242.79
Agric hen eggs,2025-04-01,SOUTH EAST,300.2
Agric hen eggs,2025-04-01,SOUTH SOUTH,264.53
Agric hen eggs,2025-04-01,SOUTH WEST,258.17
"Agric hen eggs, (a Crate of 30 pieces)",2025-04-01,NORTH CENTRAL,5836.0
"Agric hen eggs, (a Crate of 30 pieces)",2025-04-01,NORTH EAST,6551.67
"Agric hen eggs, (a Crate of 30 pieces)",2025-04-01,NORTH WEST,5082.5
"Agric hen eggs, (a Crate of 30 pieces)",2025-04-01,SOUTH EAST,7155.27
"Agric hen eggs, (a Crate of 30 pieces)",2025-04-01,SOUTH SOUTH,6306.79
"Agric hen eggs, (a Crate of 30 pieces)",2025-04-01,SOUTH WEST,6366.67
Beans Brown,2025-04-01,NORTH CENTRAL,2602.86
Beans Brown,2025-04-01,NORTH EAST,2451.67
Beans Brown,2025-04-01,NORTH WEST,1682.07
Beans Brown,2025-04-01,SOUTH EAST,3230.0
Beans Brown,2025-04-01,SOUTH SOUTH,2502.15
Beans Brown,2025-04-01,SOUTH WEST,2336.67
Beans white,2025-04-01,NORTH CENTRAL,2037.43
Beans white,2025-04-01,NORTH EAST,2036.32
Beans white,2025-04-01,NORTH WEST,1566.34
